class_id,class_name,support,accuracy
0,BEANS,84,0.9524
1,CAKE,60,0.9333
2,CANDY,27,0.8148
3,CEREAL,29,0.8966
4,CHIPS,66,0.9091
5,CHOCOLATE,38,0.8684
6,COFFEE,27,0.9630
7,CORN,40,0.9750
8,FISH,50,0.8800
9,FLOUR,30,0.9000
10,HONEY,49,0.9796
11,JAM,31,0.9677
12,JUICE,36,0.8611
13,MILK,48,0.8333
14,NUTS,65,0.9231
15,OIL,37,0.8378
16,PASTA,50,0.9400
17,RICE,21,0.9524
18,SODA,52,0.9423
19,SPICES,32,0.9375
20,SUGAR,26,0.9615
21,TEA,49,1.0000
22,TOMATO_SAUCE,17,0.9412
23,VINEGAR,34,0.9706
24,WATER,20,0.9000
