class_id,class_name,support,accuracy
0,Golden-Delicious,45,0.6889
1,Granny-Smith,58,0.9655
2,Pink-Lady,59,1.0000
3,Red-Delicious,50,1.0000
4,Royal-Gala,64,0.7344
5,Avocado,40,0.9250
6,Banana,44,1.0000
7,Kiwi,45,0.9333
8,Lemon,41,0.5610
9,Lime,30,0.7333
10,Mango,31,0.9677
11,Cantaloupe,39,0.7692
12,Galia-Melon,32,0.9688
13,Honeydew-Melon,36,0.9167
14,Watermelon,46,0.9783
15,Nectarine,35,0.8571
16,Orange,56,0.7143
17,Papaya,21,1.0000
18,Passion-Fruit,27,0.9630
19,Peach,36,0.8889
20,Anjou,35,0.8571
21,Conference,44,0.9773
22,Kaiser,29,0.9655
23,Pineapple,25,0.9600
24,Plum,22,1.0000
25,Pomegranate,25,0.9200
26,Red-Grapefruit,34,0.8235
27,Satsumas,68,0.4706
28,Bravo-Apple-Juice,23,1.0000
29,Bravo-Orange-Juice,31,1.0000
30,God-Morgon-Apple-Juice,19,1.0000
31,God-Morgon-Orange-Juice,22,1.0000
32,God-Morgon-Orange-Red-Grapefruit-Juice,19,0.8421
33,God-Morgon-Red-Grapefruit-Juice,14,1.0000
34,Tropicana-Apple-Juice,28,1.0000
35,Tropicana-Golden-Grapefruit,19,1.0000
36,Tropicana-Juice-Smooth,24,1.0000
37,Tropicana-Mandarin-Morning,20,1.0000
38,Arla-Ecological-Medium-Fat-Milk,29,1.0000
39,Arla-Lactose-Medium-Fat-Milk,25,1.0000
40,Arla-Medium-Fat-Milk,34,1.0000
41,Arla-Standard-Milk,30,1.0000
42,Garant-Ecological-Medium-Fat-Milk,35,1.0000
43,Garant-Ecological-Standard-Milk,11,1.0000
44,Oatly-Natural-Oatghurt,30,1.0000
45,Oatly-Oat-Milk,31,1.0000
46,Arla-Ecological-Sour-Cream,23,0.8696
47,Arla-Sour-Cream,18,0.8889
48,Arla-Sour-Milk,19,1.0000
49,Alpro-Blueberry-Soyghurt,28,1.0000
50,Alpro-Vanilla-Soyghurt,19,0.8421
51,Alpro-Fresh-Soy-Milk,28,0.9286
52,Alpro-Shelf-Soy-Milk,30,1.0000
53,Arla-Mild-Vanilla-Yoghurt,27,1.0000
54,Arla-Natural-Mild-Low-Fat-Yoghurt,23,1.0000
55,Arla-Natural-Yoghurt,41,1.0000
56,Valio-Vanilla-Yoghurt,31,1.0000
57,Yoggi-Strawberry-Yoghurt,32,0.8750
58,Yoggi-Vanilla-Yoghurt,18,0.6667
59,Asparagus,14,1.0000
60,Aubergine,22,1.0000
61,Cabbage,19,1.0000
62,Carrots,42,1.0000
63,Cucumber,27,0.8148
64,Garlic,25,0.9600
65,Ginger,15,1.0000
66,Leek,21,1.0000
67,Brown-Cap-Mushroom,39,1.0000
68,Yellow-Onion,37,1.0000
69,Green-Bell-Pepper,25,1.0000
70,Orange-Bell-Pepper,26,0.9615
71,Red-Bell-Pepper,33,0.9697
72,Yellow-Bell-Pepper,26,0.9615
73,Floury-Potato,16,0.8750
74,Solid-Potato,27,0.8148
75,Sweet-Potato,27,0.8519
76,Red-Beet,17,1.0000
77,Beef-Tomato,10,1.0000
78,Regular-Tomato,47,1.0000
79,Vine-Tomato,43,0.9302
80,Zucchini,29,1.0000
