count,true_class,predicted_class
34,Satsumas,Orange
16,Royal-Gala,Pink-Lady
14,Golden-Delicious,Granny-Smith
12,Orange,Satsumas
7,Lemon,Red-Grapefruit
6,Yoggi-Vanilla-Yoghurt,Yoggi-Strawberry-Yoghurt
5,Red-Grapefruit,Orange
5,Nectarine,Royal-Gala
5,Lemon,Satsumas
5,Cantaloupe,Galia-Melon
4,Yoggi-Strawberry-Yoghurt,Yoggi-Vanilla-Yoghurt
4,Solid-Potato,Floury-Potato
4,Orange,Red-Grapefruit
4,Lime,Green-Bell-Pepper
4,Lime,Granny-Smith
4,Lemon,Lime
4,Anjou,Granny-Smith
3,Vine-Tomato,Regular-Tomato
3,Peach,Pink-Lady
3,Alpro-Vanilla-Soyghurt,Alpro-Blueberry-Soyghurt
2,Sweet-Potato,Floury-Potato
2,Satsumas,Red-Grapefruit
2,Honeydew-Melon,Lemon
2,Granny-Smith,Anjou
2,God-Morgon-Orange-Red-Grapefruit-Juice,God-Morgon-Apple-Juice
2,Floury-Potato,Solid-Potato
2,Cucumber,Zucchini
2,Cucumber,Vine-Tomato
2,Cantaloupe,Kiwi
2,Avocado,Mango
2,Arla-Ecological-Sour-Cream,Arla-Standard-Milk
2,Alpro-Fresh-Soy-Milk,Alpro-Shelf-Soy-Milk
1,Yellow-Bell-Pepper,Honeydew-Melon
1,Watermelon,Papaya
1,Sweet-Potato,Kiwi
1,Sweet-Potato,Ginger
1,Solid-Potato,Yellow-Onion
1,Royal-Gala,Red-Delicious
1,Red-Grapefruit,Satsumas
1,Red-Bell-Pepper,Yellow-Bell-Pepper
1,Pomegranate,Royal-Gala
1,Pomegranate,Pink-Lady
1,Pineapple,Leek
1,Peach,Nectarine
1,Passion-Fruit,Kiwi
1,Orange-Bell-Pepper,Yellow-Bell-Pepper
1,Mango,Watermelon
1,Lemon,Honeydew-Melon
1,Lemon,Golden-Delicious
1,Kiwi,Satsumas
1,Kiwi,Red-Beet
1,Kiwi,Passion-Fruit
1,Kaiser,Red-Grapefruit
1,Honeydew-Melon,Satsumas
1,God-Morgon-Orange-Red-Grapefruit-Juice,God-Morgon-Red-Grapefruit-Juice
1,Garlic,Solid-Potato
1,Galia-Melon,Kiwi
1,Cucumber,Asparagus
1,Conference,Mango
1,Cantaloupe,Conference
1,Cantaloupe,Avocado
1,Avocado,Lime
1,Arla-Sour-Cream,Arla-Sour-Milk
1,Arla-Sour-Cream,Arla-Ecological-Sour-Cream
1,Arla-Ecological-Sour-Cream,Arla-Sour-Milk
1,Anjou,Golden-Delicious
