dataset,seed,system,condition,acc,gmacs
gsd,0,Dual-confidence,clean,0.9175050301810865,4.867999999999999
gsd,0,Dual-confidence,jpeg_s2,0.8672032193158954,4.867999999999999
gsd,0,Dual-confidence,blur_s2,0.869215291750503,4.867999999999999
gsd,0,Dual-confidence,occ_s1,0.9162977867203219,4.867999999999999
gsd,1,Dual-confidence,clean,0.9138832997987928,4.867999999999999
gsd,1,Dual-confidence,jpeg_s2,0.8676056338028169,4.867999999999999
gsd,1,Dual-confidence,blur_s2,0.8676056338028169,4.867999999999999
gsd,1,Dual-confidence,occ_s1,0.9154929577464789,4.867999999999999
gsd,2,Dual-confidence,clean,0.9106639839034205,4.867999999999999
gsd,2,Dual-confidence,jpeg_s2,0.8466800804828973,4.867999999999999
gsd,2,Dual-confidence,blur_s2,0.849496981891348,4.867999999999999
gsd,2,Dual-confidence,occ_s1,0.9098591549295775,4.867999999999999
freiburg,0,Dual-confidence,clean,0.931237721021611,4.867999999999999
freiburg,0,Dual-confidence,jpeg_s2,0.8948919449901768,4.867999999999999
freiburg,0,Dual-confidence,blur_s2,0.9007858546168959,4.867999999999999
freiburg,0,Dual-confidence,occ_s1,0.9263261296660118,4.867999999999999
freiburg,1,Dual-confidence,clean,0.9390962671905697,4.867999999999999
freiburg,1,Dual-confidence,jpeg_s2,0.8860510805500982,4.867999999999999
freiburg,1,Dual-confidence,blur_s2,0.8919449901768173,4.867999999999999
freiburg,1,Dual-confidence,occ_s1,0.9410609037328095,4.867999999999999
freiburg,2,Dual-confidence,clean,0.944007858546169,4.867999999999999
freiburg,2,Dual-confidence,jpeg_s2,0.8821218074656189,4.867999999999999
freiburg,2,Dual-confidence,blur_s2,0.888015717092338,4.867999999999999
freiburg,2,Dual-confidence,occ_s1,0.9449901768172888,4.867999999999999
