dataset,seed,system,condition,acc,gmacs,routed,tau,tost_mean,tost_lo,tost_hi
freiburg,0,cheap-B0,clean,0.8555992141453831,0.418317952,,,,,
freiburg,0,distilled-B0,clean,0.8988212180746562,0.418317952,,,,,
freiburg,0,heavy-Tiny,clean,0.9302554027504911,4.469688576,,,,,
freiburg,0,ARC,clean,0.925343811394892,1.5335447676227896,0.24950884086444003,0.8636779661016949,,,
freiburg,0,ARC-D,clean,0.9233791748526523,0.8398210004243614,0.09430255402750487,0.7029830508474576,-0.0068762278978389,-0.01768172888015717,0.003929273084479371
freiburg,0,cheap-B0,jpeg_s2,0.743614931237721,0.418317952,,,,,
freiburg,0,distilled-B0,jpeg_s2,0.8300589390962672,0.418317952,,,,,
freiburg,0,heavy-Tiny,jpeg_s2,0.8939096267190569,4.469688576,,,,,
freiburg,0,ARC,jpeg_s2,0.8781925343811395,2.4292387455245574,0.44990176817288796,0.8636779661016949,,,
freiburg,0,ARC-D,jpeg_s2,0.8664047151277013,1.1691202570058938,0.16797642436149307,0.7029830508474576,-0.0275049115913556,-0.04027504911591356,-0.014734774066797643
freiburg,0,cheap-B0,blur_s2,0.74950884086444,0.418317952,,,,,
freiburg,0,distilled-B0,blur_s2,0.8241650294695482,0.418317952,,,,,
freiburg,0,heavy-Tiny,blur_s2,0.9096267190569745,4.469688576,,,,,
freiburg,0,ARC,blur_s2,0.8860510805500982,2.367769550962672,0.4361493123772102,0.8636779661016949,,,
freiburg,0,ARC-D,blur_s2,0.8781925343811395,1.204245511041257,0.17583497053045183,0.7029830508474576,-0.03143418467583497,-0.04420432220039293,-0.018664047151277015
freiburg,0,cheap-B0,occ_s1,0.8536345776031434,0.418317952,,,,,
freiburg,0,distilled-B0,occ_s1,0.899803536345776,0.418317952,,,,,
freiburg,0,heavy-Tiny,occ_s1,0.931237721021611,4.469688576,,,,,
freiburg,0,ARC,occ_s1,0.925343811394892,1.5423260811316308,0.2514734774066798,0.8636779661016949,,,
freiburg,0,ARC-D,occ_s1,0.9194499017681729,0.8442116571787817,0.0952848722986247,0.7029830508474576,-0.011787819253438114,-0.022593320235756387,-0.0009823182711198428
freiburg,1,cheap-B0,clean,0.8654223968565815,0.418317952,,,,,
freiburg,1,distilled-B0,clean,0.9007858546168959,0.418317952,,,,,
freiburg,1,heavy-Tiny,clean,0.9449901768172888,4.469688576,,,,,
freiburg,1,ARC,clean,0.9410609037328095,2.051642264644401,0.3654223968565815,0.9397966101694915,,,
freiburg,1,ARC-D,clean,0.9400785854616895,1.2261987948133597,0.1807465618860511,0.8975084745762711,-0.004911591355599214,-0.012770137524557957,0.003929273084479371
freiburg,1,cheap-B0,jpeg_s2,0.737721021611002,0.418317952,,,,,
freiburg,1,distilled-B0,jpeg_s2,0.8163064833005894,0.418317952,,,,,
freiburg,1,heavy-Tiny,jpeg_s2,0.8958742632612967,4.469688576,,,,,
freiburg,1,ARC,jpeg_s2,0.8840864440078585,2.8946483614931235,0.5540275049115914,0.9397966101694915,,,
freiburg,1,ARC-D,jpeg_s2,0.8958742632612967,1.8584533674499015,0.3222003929273084,0.8975084745762711,0.0,-0.008840864440078585,0.008840864440078585
freiburg,1,cheap-B0,blur_s2,0.7161100196463654,0.418317952,,,,,
freiburg,1,distilled-B0,blur_s2,0.8369351669941061,0.418317952,,,,,
freiburg,1,heavy-Tiny,blur_s2,0.906679764243615,4.469688576,,,,,
freiburg,1,ARC,blur_s2,0.9007858546168959,3.05710266140668,0.5903732809430255,0.9397966101694915,,,
freiburg,1,ARC-D,blur_s2,0.9056974459724951,1.7706402323614931,0.30255402750491156,0.8975084745762711,-0.0009823182711198428,-0.008840864440078585,0.0068762278978389
freiburg,1,cheap-B0,occ_s1,0.8614931237721022,0.418317952,,,,,
freiburg,1,distilled-B0,occ_s1,0.9027504911591355,0.418317952,,,,,
freiburg,1,heavy-Tiny,occ_s1,0.9459724950884086,4.469688576,,,,,
freiburg,1,ARC,occ_s1,0.9430255402750491,2.069204891662083,0.36935166994106094,0.9397966101694915,,,
freiburg,1,ARC-D,occ_s1,0.9390962671905697,1.2349801083222003,0.18271119842829076,0.8975084745762711,-0.0068762278978389,-0.014783889980353617,0.0009823182711198428
freiburg,2,cheap-B0,clean,0.8703339882121808,0.418317952,,,,,
freiburg,2,distilled-B0,clean,0.8988212180746562,0.418317952,,,,,
freiburg,2,heavy-Tiny,clean,0.9430255402750491,4.469688576,,,,,
freiburg,2,ARC,clean,0.9400785854616895,1.608185932447937,0.2662082514734774,0.9228813559322033,,,
freiburg,2,ARC-D,clean,0.9361493123772102,1.2657147056031435,0.18958742632612968,0.9059661016949152,-0.0068762278978389,-0.012770137524557957,-0.0009823182711198428
freiburg,2,cheap-B0,jpeg_s2,0.756385068762279,0.418317952,,,,,
freiburg,2,distilled-B0,jpeg_s2,0.8261296660117878,0.418317952,,,,,
freiburg,2,heavy-Tiny,jpeg_s2,0.9017681728880157,4.469688576,,,,,
freiburg,2,ARC,jpeg_s2,0.8889980353634578,2.508270567104126,0.46758349705304514,0.9228813559322033,,,
freiburg,2,ARC-D,jpeg_s2,0.8889980353634578,1.8365000836777998,0.31728880157170924,0.9059661016949152,-0.012770137524557957,-0.022593320235756387,-0.0038801571709232
freiburg,2,cheap-B0,blur_s2,0.7465618860510805,0.418317952,,,,,
freiburg,2,distilled-B0,blur_s2,0.8104125736738703,0.418317952,,,,,
freiburg,2,heavy-Tiny,blur_s2,0.906679764243615,4.469688576,,,,,
freiburg,2,ARC,blur_s2,0.8948919449901768,2.618036985964636,0.49214145383104124,0.9228813559322033,,,
freiburg,2,ARC-D,blur_s2,0.8968565815324165,1.849672053941061,0.32023575638506874,0.9059661016949152,-0.009823182711198428,-0.01768172888015717,-0.0019646365422396855
freiburg,2,cheap-B0,occ_s1,0.8762278978388998,0.418317952,,,,,
freiburg,2,distilled-B0,occ_s1,0.8958742632612967,0.418317952,,,,,
freiburg,2,heavy-Tiny,occ_s1,0.9430255402750491,4.469688576,,,,,
freiburg,2,ARC,occ_s1,0.9390962671905697,1.6301392162200394,0.27111984282907664,0.9228813559322033,,,
freiburg,2,ARC-D,occ_s1,0.93713163064833,1.2525427353398824,0.1866404715127702,0.9059661016949152,-0.005893909626719057,-0.012770137524557957,0.0
